,MAE,Model,Features
1768,0.2517212045173975,NMF->RF,All_features
2157,0.2517369016104819,NMF->RF,All_features
455,0.2517377485987018,RF,All_features
649,0.2517460474505453,RF,All_features
1580,0.25175219600119664,NMF->RF,All_features
3178,0.2517813585285362,NMF->RF,All_features
1406,0.25179205892513234,NMF->RF,All_features
3409,0.2517995404826181,NMF->RF,All_features
52,0.251809466257289,NMF->DT (MF),All_features
2441,0.25180972049715483,NMF->RF,All_features
728,0.25181427360011843,RF,Theory_features
2316,0.25184207323578633,NMF->RF,All_features
1229,0.2518531812931501,NMF->RF,All_features
3779,0.2518547170810454,NMF->RF,All_features
394,0.2518566638207915,RF,All_features
2082,0.2518690546551385,NMF->RF,All_features
387,0.251885275777996,RF,Theory_features
2383,0.25189401921223586,NMF->RF,All_features
1629,0.25191876784901834,NMF->RF,All_features
255,0.2519261358051154,NMF->DT (MF),All_features
1930,0.2519297456764473,NMF->RF,All_features
1232,0.25193017769577825,NMF->RF,All_features
1936,0.2519304168201165,NMF->RF,All_features
2944,0.25194882668498875,NMF->RF,All_features
3254,0.2519574621140673,NMF->RF,All_features
1962,0.2519583137803121,NMF->RF,All_features
1836,0.251962003755868,NMF->RF,All_features
849,0.2519678674894119,RF,All_features
298,0.2519781881583843,RF,Theory_features
982,0.2519920309752412,NMF->RF,All_features
2305,0.2519928290801265,NMF->RF,All_features
1921,0.2519972694689345,NMF->RF,All_features
728,0.2520214790933517,RF,All_features
3373,0.2520311887810682,NMF->RF,All_features
2179,0.25203888352451537,NMF->RF,All_features
3219,0.25203948834166445,NMF->RF,All_features
1400,0.2520426836960601,NMF->RF,All_features
1644,0.2520500024909945,NMF->RF,All_features
3084,0.25205168369903097,NMF->RF,All_features
2360,0.2520633512476045,NMF->RF,All_features
534,0.2520654558803601,NMF->DT (MF),All_features
3564,0.2520918919456817,NMF->RF,All_features
3526,0.25209396742816176,NMF->RF,All_features
3720,0.25212280164672823,NMF->RF,All_features
1753,0.2521262132717509,NMF->RF,All_features
1267,0.2521390413727965,NMF->RF,All_features
2640,0.2521448841537125,NMF->RF,All_features
1433,0.25216672406000096,NMF->RF,All_features
1160,0.25216913653245515,NMF->RF,All_features
2049,0.2521736355050349,NMF->RF,All_features
1928,0.2521760348715658,NMF->RF,All_features
